SRRL BMS Dew Point Temperature,SRRL BMS Diffuse Horizontal Irradiance,SRRL BMS Direct Normal Irradiance,SRRL BMS Dry Bulb Temperature,SRRL BMS Global Horizontal Irradiance,SRRL BMS Relative Humidity,SRRL BMS Wind Speed at 19',day_of_week,weekend,hour,minute,usage
20.32548831,-1.750352979,-0.395130992,54.2480011,-1.977911949,24.61000061,4.697702885,2,0,2,19,95.65
20.32420727,-1.733968019,-0.566699922,54.30199814,-1.948498964,24.55999947,10.68168163,2,0,2,20,95.25
20.57763272,-1.677971005,-1.123003006,54.44599915,-1.888542056,24.72999954,9.171705246,2,0,2,21,95.25
20.6136968,-1.627825975,-1.627316952,54.7159996,-1.828531981,24.53000069,11.65925121,2,0,2,22,95.25
20.50397649,-1.608209968,-1.897665977,54.93199921,-1.715937018,24.20999908,14.1199522,2,0,2,23,95.25
20.49867412,-1.593462944,-2.074433088,55.13000107,-1.636175036,24.03000069,13.11330223,2,0,2,24,95.25
20.57564303,-1.578521013,-1.856070995,55.22000122,-1.600255013,24.04000092,11.43555069,2,0,2,25,95.25
20.90121531,-1.59801805,-1.71570003,55.27399826,-1.596392989,24.37000084,12.38627625,2,0,2,26,95.31
20.85931751,-1.590849042,-1.627316952,55.40000153,-1.624325991,24.20999908,13.95217705,2,0,2,27,95.37
20.88518134,-1.595438957,-1.341369033,55.40000153,-1.641968012,24.23999977,15.57400322,2,0,2,28,95.43
20.83618339,-1.562170029,-1.299777985,55.47200012,-1.636968017,24.12000084,13.95217705,2,0,2,29,95.49
20.74805547,-1.520053983,-1.200992942,55.56200027,-1.647322059,23.94000053,12.13573265,2,0,2,30,95.55
20.65856967,-1.507334948,-0.764267623,55.49000168,-1.693673968,23.89999962,11.60332584,2,0,2,31,95.68
20.77014054,-1.480942965,-0.462720692,55.32799911,-1.691928983,24.17000008,13.86940861,2,0,2,32,95.81
20.75647995,-1.453747034,-0.374336302,55.31000137,-1.677633047,24.17000008,14.42865849,2,0,2,33,95.94
20.90467712,-1.399521947,-0.400332212,55.25600052,-1.660989046,24.38999939,13.50477695,2,0,2,34,96.07
21.17580007,-1.366310954,-0.577102721,55.31000137,-1.652886987,24.65999985,17.56046104,2,0,2,35,96.2
21.13198939,-1.330728054,-0.8318578,55.54399872,-1.598559022,24.39999962,14.67920303,2,0,2,36,97.13
21.23802974,-1.328605056,-0.764268219,55.61600113,-1.575343966,24.45999908,17.11306,2,0,2,37,98.06
21.03690556,-1.305574059,-0.759067774,55.63399887,-1.545261025,24.20999908,15.01475334,2,0,2,38,98.99
